Genre,Total movies with this genre,Title,Year,Length,Rating
drama,220790,The Woman King,2022,6.7,135
drama,220790,The Batman,2022,7.9,176
drama,220790,Where the Crawdads Sing,2022,7.1,125
drama,220790,Mr. Harrigan's Phone,2022,6.0,104
drama,220790,Top Gun,1986,6.9,110
drama,220790,Elvis,2022,7.4,159
drama,220790,Watcher,2022,6.3,91
drama,220790,Midsommar,2019,7.1,148
drama,220790,Glass Onion: A Knives Out Mystery,2022,8.1,139
drama,220790,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
drama,220790,American Psycho,2000,7.6,102
drama,220790,The Whale,2022,8.6,117
drama,220790,The Shawshank Redemption,1994,9.3,142
drama,220790,Armageddon Time,2022,6.9,115
drama,220790,The Godfather,1972,9.2,175
drama,220790,The VVitch: A New-England Folktale,2015,6.9,92
drama,220790,Heojil kyolshim,2022,7.3,139
drama,220790,My Policeman,2022,6.6,113
drama,220790,Till,2022,7.6,130
drama,220790,Interstellar,2014,8.6,169
drama,220790,Blade of the 47 Ronin,2022,4.6,107
drama,220790,Prey,2022,7.2,99
drama,220790,Argentina, 1985,2022,7.9,140
drama,220790,The Shining,1980,8.4,146
drama,220790,Grimcutty,2022,4.3,101
drama,220790,Bardo, falsa crónica de unas cuantas verdades,2022,7.5,159
drama,220790,Lou,2022,6.1,107
drama,220790,Hereditary,2018,7.3,127
drama,220790,Dune: Part One,2021,8.0,155
drama,220790,Joker,2019,8.4,122
drama,220790,20th Century Girl,2022,7.3,119
family,16883,Hocus Pocus,1993,6.9,96
family,16883,Hocus Pocus 2,2022,6.0,103
family,16883,The Curse of Bridge Hollow,2022,5.6,89
family,16883,The Nightmare Before Christmas,1993,7.9,76
family,16883,Lyle, Lyle, Crocodile,2022,6.3,106
family,16883,Harry Potter and the Sorcerer's Stone,2001,7.6,152
family,16883,The Munsters,2022,4.6,109
family,16883,Wendell & Wild,2022,6.6,105
family,16883,The Goonies,1985,7.7,114
family,16883,DC League of Super-Pets,2022,7.3,105
family,16883,Casper,1995,6.1,100
family,16883,Sing 2,2021,7.4,110
family,16883,Coraline,2009,7.7,100
family,16883,Pinocchio,2022,7.8,117
family,16883,Scooby-Doo,2002,5.2,89
family,16883,Pinocchio,2022,5.1,105
family,16883,Corpse Bride,2005,7.3,77
family,16883,Sing,2016,7.1,108
family,16883,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,142
family,16883,Minions: The Rise of Gru,2022,6.6,87
family,16883,Roald Dahl's Matilda the Musical,2022,6.0,117
family,16883,Hotel Transylvania,2012,7.0,91
family,16883,Coco,2017,8.4,105
family,16883,Encanto,2021,7.2,102
family,16883,Harry Potter and the Chamber of Secrets,2002,7.4,161
family,16883,Harry Potter and the Goblet of Fire,2005,7.7,157
family,16883,Monster House,2006,6.6,91
family,16883,Sonic the Hedgehog 2,2022,6.5,122
family,16883,The Bad Guys,2022,6.8,100
family,16883,The Princess Bride,1987,8.0,98
family,16883,The Haunted Mansion,2003,5.1,99
family,16883,Ponniyin Selvan: I,2022,8.1,167
family,16883,Matilda,1996,6.9,98
family,16883,E.T. the Extra-Terrestrial,1982,7.9,115
family,16883,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130
family,16883,Home Alone,1990,7.7,103
family,16883,The Addams Family,2019,5.8,86
family,16883,Spy Kids 3: Game Over,2003,4.3,84
family,16883,Lightyear,2022,6.0,100
family,16883,A Christmas Story,1983,7.9,93
family,16883,Harry Potter and the Prisoner of Azkaban,2004,7.9,142
family,16883,Stardust,2007,7.6,127
family,16883,Sen to Chihiro no kamikakushi,2001,8.6,125
family,16883,The Karate Kid,1984,7.3,126
fantasy,16863,Black Adam,2022,7.1,125
fantasy,16863,The School for Good and Evil,2022,5.8,147
fantasy,16863,Hocus Pocus,1993,6.9,96
fantasy,16863,Hocus Pocus 2,2022,6.0,103
fantasy,16863,Everything Everywhere All at Once,2022,8.1,139
fantasy,16863,The Northman,2022,7.1,137
fantasy,16863,Thor: Love and Thunder,2022,6.4,118
fantasy,16863,Beetle Juice,1988,7.5,92
fantasy,16863,The Nightmare Before Christmas,1993,7.9,76
fantasy,16863,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
